country,iso3,excluded_island,Admin1
Angola,AGO,FALSE,
Benin,BEN,FALSE,
Botswana,BWA,FALSE,
Burkina Faso,BFA,FALSE,
Burundi,BDI,FALSE,
Cabo Verde,CPV,TRUE,
Cameroon,CMR,FALSE,
Central African Republic,CAF,FALSE,
Chad,TCD,FALSE,
Comoros,COM,TRUE,
"Congo, Democratic Republic of the",COD,FALSE,
"Congo, Republic of the",COG,FALSE,
Côte d'Ivoire,CIV,FALSE,
Djibouti,DJI,FALSE,
Equatorial Guinea,GNQ,FALSE,
Eritrea,ERI,FALSE,
Eswatini,SWZ,FALSE,
Ethiopia,ETH,FALSE,
Gabon,GAB,FALSE,
Gambia,GMB,FALSE,
Ghana,GHA,FALSE,
Guinea,GIN,FALSE,
Guinea-Bissau,GNB,FALSE,
Kenya,KEN,FALSE,
Lesotho,LSO,FALSE,
Liberia,LBR,FALSE,
Madagascar,MDG,FALSE,
Malawi,MWI,FALSE,
Mali,MLI,FALSE,
Mauritania,MRT,FALSE,
Mauritius,MUS,TRUE,
Mozambique,MOZ,FALSE,
Namibia,NAM,FALSE,
Niger,NER,FALSE,
Nigeria,NGA,FALSE,
Rwanda,RWA,FALSE,
São Tomé and Príncipe,STP,TRUE,
Senegal,SEN,FALSE,
Seychelles,SYC,TRUE,
Sierra Leone,SLE,FALSE,
Somalia,SOM,FALSE,
South Africa,ZAF,FALSE,
South Sudan,SSD,FALSE,
Sudan,SDN,FALSE,
"Tanzania, United Republic of",TZA,FALSE,
Togo,TGO,FALSE,
Uganda,UGA,FALSE,
Zambia,ZMB,FALSE,
Zimbabwe,ZWE,FALSE,
